artist1,artist1_normalized,artist2,artist2_normalized,shows_together
Local Sports Team,local sports team,Mia Grace,mia grace,1
) Michael Barrow,) michael barrow,Local Sports Team,local sports team,1
) Michael Barrow,) michael barrow,Mia Grace,mia grace,1
Mia Grace,mia grace,the Tourists,the tourists,1
the Train Robbers,the train robbers,Timmy The Teeth,timmy the teeth,1
) Michael Barrow,) michael barrow,the Tourists,the tourists,1
Say Hey,say hey,Telesomniac,telesomniac,1
Say Hey,say hey,Sord,sord,1
Sord,sord,Telesomniac,telesomniac,1
Kitfox,kitfox,Mia Hicken,mia hicken,1
Mr. Tape!,mr. tape!,The Lovestrange,the lovestrange,1
afterghost. Detective Deckard,afterghost. detective deckard,Saylo,saylo,1
Kasadoom,kasadoom,Pinguin Mofex,pinguin mofex,1
Ruble,ruble,The Backseat Lovers,the backseat lovers,1
the Train Robbers,the train robbers,Tylor,tylor,1
Timmy The Teeth,timmy the teeth,Tylor,tylor,1
Grey Glass,grey glass,The Backseat Lovers,the backseat lovers,1
Leaping Gnome,leaping gnome,Lyfe On Mars,lyfe on mars,1
Leaping Gnome,leaping gnome,The People's Thieves,the people's thieves,1
Ian Hullinger,ian hullinger,Spencer Nelson,spencer nelson,1
Kambree,kambree,Pinguin Mofex,pinguin mofex,1
Black Tie Event,black tie event,Mome Wrath,mome wrath,1
Mome Wrath,mome wrath,Sepia Ria,sepia ria,1
Antoine Dufour,antoine dufour,Luca Stricagnoli,luca stricagnoli,1
Luca Stricagnoli,luca stricagnoli,Nick Johnson,nick johnson,1
The Sardines,the sardines,Vann Moon,vann moon,1
Nate Hardyman,nate hardyman,Renshaw,renshaw,1
Currents,currents,S_2 Cool,s_2 cool,1
Frank Zoo,frank zoo,Ian Hullinger,ian hullinger,1
Ian Hullinger,ian hullinger,NA-G,na-g,1
Frank Zoo,frank zoo,NA-G,na-g,1
Frank Zoo,frank zoo,Spencer Nelson,spencer nelson,1
Lyfe On Mars,lyfe on mars,The People's Thieves,the people's thieves,1
NA-G,na-g,Spencer Nelson,spencer nelson,1
The Mystic,the mystic,Uncle Muzz,uncle muzz,1
Aviva L,aviva l,The Heart)! w/Chelsea Coleman,the heart)! w/chelsea coleman,1
JOSIAH JOHNSON (of The Head,josiah johnson (of the head,The Heart)! w/Chelsea Coleman,the heart)! w/chelsea coleman,1
Aviva L,aviva l,JOSIAH JOHNSON (of The Head,josiah johnson (of the head,1
Ben Reneer,ben reneer,Holly Arballo,holly arballo,1
Jenn Blosil,jenn blosil,Joel Ansett,joel ansett,1
My Dear Watson,my dear watson,Suit Up Soldier,suit up soldier,1
Brass Rook,brass rook,Stephanie Mabey,stephanie mabey,1
Nicholas Naioti,nicholas naioti,Nymph,nymph,1
Alyssa Pyper,alyssa pyper,Nicholas Naioti,nicholas naioti,1
Hello Virtigo,hello virtigo,Jaxton Dayton,jaxton dayton,1
Star Crossed Loners,star crossed loners,Telesomniac,telesomniac,1
Cherish Degraaf,cherish degraaf,J.Wride,j.wride,1
Stephanie Mabey,stephanie mabey,Tishmal,tishmal,1
Hope Broman,hope broman,Monthly Acoustic Showcase: Jay Robinson,monthly acoustic showcase: jay robinson,1
Libby Clawson,libby clawson,Monthly Acoustic Showcase: Jay Robinson,monthly acoustic showcase: jay robinson,1
Hope Broman,hope broman,Libby Clawson,libby clawson,1
The Lavender Hunnies,the lavender hunnies,The Mystic,the mystic,1
Eminent Sol,eminent sol,Rare Fracture,rare fracture,1
Rare Fracture,rare fracture,The Vistanauts,the vistanauts,1
Eminent Sol,eminent sol,The Vistanauts,the vistanauts,1
Nymph,nymph,The Scrub Oaks,the scrub oaks,1
Nymph,nymph,The Djinn,the djinn,1
The Djinn,the djinn,The Scrub Oaks,the scrub oaks,1
Nymph,nymph,Roomers,roomers,1
Roomers,roomers,The Scrub Oaks,the scrub oaks,1
Roomers,roomers,The Djinn,the djinn,1
Lizzy Dunford,lizzy dunford,Tanner Pace,tanner pace,1
Austin Paxton,austin paxton,Tanner Pace,tanner pace,1
Austin Paxton,austin paxton,Lizzy Dunford,lizzy dunford,1
Jaxton Dayton,jaxton dayton,Tanner Pace,tanner pace,1
Jaxton Dayton,jaxton dayton,Lizzy Dunford,lizzy dunford,1
Austin Paxton,austin paxton,Jaxton Dayton,jaxton dayton,1
Noah Ruble,noah ruble,Wallfly,wallfly,1
Izzie Karren,izzie karren,James Han,james han,1
Currents,currents,Noble Bodies,noble bodies,1
The Sardines,the sardines,Vanillaroma,vanillaroma,1
Faith Marie,faith marie,Tishmal,tishmal,1
Ete AhPing,ete ahping,Mowth,mowth,1
Homestyle D.R,homestyle d.r,Psychedelic Purple,psychedelic purple,1
Beeson,beeson,The Rubies,the rubies,1
James Robin,james robin,Mia Hicken,mia hicken,1
James Robin,james robin,Laryssa Birdseye,laryssa birdseye,1
Laryssa Birdseye,laryssa birdseye,Mia Hicken,mia hicken,1
James Robin,james robin,Jordan Jacobsen,jordan jacobsen,1
Jordan Jacobsen,jordan jacobsen,Mia Hicken,mia hicken,1
Jordan Jacobsen,jordan jacobsen,Laryssa Birdseye,laryssa birdseye,1
Faith Marie,faith marie,Mia Grace,mia grace,1
Faith Marie,faith marie,Joy Downer,joy downer,1
Joy Downer,joy downer,Mia Grace,mia grace,1
Jenn Blosil,jenn blosil,Mia Grace,mia grace,1
Jenn Blosil,jenn blosil,Joy Downer,joy downer,1
Beeson,beeson,Drusky,drusky,1
Cravy Dockett,cravy dockett,Hurtado,hurtado,1
Drusky,drusky,The Rubies,the rubies,1
Paige Fish,paige fish,The Rubies,the rubies,1
Drusky,drusky,Paige Fish,paige fish,1
"Dune Moss ""Album Release","dune moss ""album release",Julianne Brough,julianne brough,1
Julianne Brough,julianne brough,Little Moon,little moon,1
"Dune Moss ""Album Release","dune moss ""album release",Little Moon,little moon,1
Angie Petty,angie petty,Lillian Hepler,lillian hepler,1
Angie Petty,angie petty,Genevra Munoa,genevra munoa,1
Genevra Munoa,genevra munoa,Lillian Hepler,lillian hepler,1
Angie Petty,angie petty,Bri Ray,bri ray,1
Bri Ray,bri ray,Lillian Hepler,lillian hepler,1
Dum Luv,dum luv,Hurtado,hurtado,1
Comas,comas,Hurtado,hurtado,1
Grimwood,grimwood,MYKEL,mykel,1
Seventh Seal,seventh seal,The Button Ups,the button ups,1
Bryson Jarrett,bryson jarrett,MYKEL,mykel,1
Bryson Jarrett,bryson jarrett,Grimwood,grimwood,1
Cardinal Bloom,cardinal bloom,Jordan Moyes,jordan moyes,1
Omega Horns,omega horns,Terrell Thomas,terrell thomas,1
Sky Olson Trio,sky olson trio,Terrell Thomas,terrell thomas,1
Omega Horns,omega horns,Sky Olson Trio,sky olson trio,1
Salt,salt,Terrell Thomas,terrell thomas,1
Omega Horns,omega horns,Salt,salt,1
Salt,salt,Sky Olson Trio,sky olson trio,1
MAHD,mahd,Seventh Seal,seventh seal,1
MAHD,mahd,The Button Ups,the button ups,1
Breakfast Biscuit,breakfast biscuit,MAHD,mahd,1
Cravy Dockett,cravy dockett,Dum Luv,dum luv,1
Breakfast Biscuit,breakfast biscuit,Seventh Seal,seventh seal,1
Breakfast Biscuit,breakfast biscuit,The Button Ups,the button ups,1
Mt. Everett,mt. everett,No Diploma,no diploma,1
Mt. Everett,mt. everett,Sage Lane,sage lane,1
No Diploma,no diploma,Sage Lane,sage lane,1
Mt. Everett,mt. everett,Psychedelic Purple,psychedelic purple,1
No Diploma,no diploma,Psychedelic Purple,psychedelic purple,1
Psychedelic Purple,psychedelic purple,Sage Lane,sage lane,1
TAG,tag,Tommy,tommy,1
Comas,comas,Cravy Dockett,cravy dockett,1
Comas,comas,Dum Luv,dum luv,1
Bri Ray,bri ray,Genevra Munoa,genevra munoa,1
Cherish Degraaf,cherish degraaf,Sarah June,sarah june,1
Sarah June,sarah june,The Penny Candies,the penny candies,1
MAHD,mahd,Muninn,muninn,1
Kieran Hellum,kieran hellum,Samual Charles Band,samual charles band,1
Sunfish,sunfish,Trey Warner,trey warner,1
19 Miles Per Hour,19 miles per hour,Trey Warner,trey warner,1
Justin Warnick,justin warnick,Sage Lane,sage lane,1
Hollow Hill,hollow hill,Mikey,mikey,1
Kieran Hellum,kieran hellum,Mikey,mikey,1
Mikey,mikey,Southernmost Gravy,southernmost gravy,1
Mt. Everett,mt. everett,Muninn,muninn,1
Mt. Everett,mt. everett,Papercut Party,papercut party,1
Muninn,muninn,Papercut Party,papercut party,1
MAHD,mahd,Mt. Everett,mt. everett,1
MAHD,mahd,Papercut Party,papercut party,1
Cherish Degraaf,cherish degraaf,No Bad Ideas,no bad ideas,1
Joseph Winters,joseph winters,Tessa Blasko,tessa blasko,1
Grace Christensen,grace christensen,Joseph Winters,joseph winters,1
Grace Christensen,grace christensen,Tessa Blasko,tessa blasko,1
Care,care,Joseph Winters,joseph winters,1
Care,care,Tessa Blasko,tessa blasko,1
Care,care,Grace Christensen,grace christensen,1
Mowth,mowth,Texture Love,texture love,1
Garon Brett,garon brett,Joseph Moore,joseph moore,1
Cayson Renshaw,cayson renshaw,Joseph Moore,joseph moore,1
Cayson Renshaw,cayson renshaw,Garon Brett,garon brett,1
Home Phone,home phone,"S2cool ""Album Release"" Mr. Mental","s2cool ""album release"" mr. mental",1
Homestyle Dinner Rolls,homestyle dinner rolls,Samual Charles Band,samual charles band,1
Samual Charles Band,samual charles band,Toughitout,toughitout,1
Homestyle Dinner Rolls,homestyle dinner rolls,Kieran Hellum,kieran hellum,1
Kieran Hellum,kieran hellum,Toughitout,toughitout,1
No Bad Ideas,no bad ideas,Sarah June,sarah june,1
No Bad Ideas,no bad ideas,The Penny Candies,the penny candies,1
Homephone,homephone,Kathleen Frewin,kathleen frewin,1
26fix,26fix,Homephone,homephone,1
26fix,26fix,Kathleen Frewin,kathleen frewin,1
Goldmyth,goldmyth,Homephone,homephone,1
Goldmyth,goldmyth,Kathleen Frewin,kathleen frewin,1
26fix,26fix,Goldmyth,goldmyth,1
Alli Jane,alli jane,Emily Bea,emily bea,1
Alli Jane,alli jane,Mikkia,mikkia,1
Emily Bea,emily bea,Mikkia,mikkia,1
Alli Jane,alli jane,Care,care,1
Care,care,Emily Bea,emily bea,1
Care,care,Mikkia,mikkia,1
Say Hey,say hey,The Squirms,the squirms,1
Scheissters,scheissters,The Squirms,the squirms,1
Say Hey,say hey,Scheissters,scheissters,1
Backhand,backhand,The Squirms,the squirms,1
Backhand,backhand,Say Hey,say hey,1
Backhand,backhand,Scheissters,scheissters,1
Nicole Canaan,nicole canaan,Sunhills,sunhills,1
Cardinal Bloom,cardinal bloom,Poolhouse,poolhouse,1
Homestyle Dinner Rolls,homestyle dinner rolls,Toughitout,toughitout,1
Bix Fosters,bix fosters,Bryson Jarrett,bryson jarrett,1
Bix Fosters,bix fosters,Grimwood,grimwood,1
Company Party,company party,"S2cool ""Album Release"" Mr. Mental","s2cool ""album release"" mr. mental",1
Del Perro,del perro,"New Band Showcase"" Trainsurfing","new band showcase"" trainsurfing",1
Bedside Fishtank,bedside fishtank,Blake Snow,blake snow,1
Bedside Fishtank,bedside fishtank,"New Band Showcase"" Afternoon All Night","new band showcase"" afternoon all night",1
Avintaquin,avintaquin,Bedside Fishtank,bedside fishtank,1
Harbor Patrol,harbor patrol,Sunfish,sunfish,1
Harbor Patrol,harbor patrol,Over Under,over under,1
Over Under,over under,Sunfish,sunfish,1
Lo-Fi Riot,lo-fi riot,SOUNDHOUSE PRESENTS: Max Headroom,soundhouse presents: max headroom,1
Soul Research Foundation $5,soul research foundation $5,SOUNDHOUSE PRESENTS: Max Headroom,soundhouse presents: max headroom,1
Lo-Fi Riot,lo-fi riot,Soul Research Foundation $5,soul research foundation $5,1
Del Perro,del perro,Soap,soap,1
"New Band Showcase"" Trainsurfing","new band showcase"" trainsurfing",Soap,soap,1
Cole Wardle,cole wardle,Soap,soap,1
Avintaquin,avintaquin,Blake Snow,blake snow,1
Cole Wardle,cole wardle,Del Perro,del perro,1
Cole Wardle,cole wardle,"New Band Showcase"" Trainsurfing","new band showcase"" trainsurfing",1
+ DJ Sauce Packet,+ dj sauce packet,Angie Petty,angie petty,1
Angie Petty,angie petty,Obeeyay,obeeyay,1
+ DJ Sauce Packet,+ dj sauce packet,Obeeyay,obeeyay,1
Blindlove,blindlove,Trey Warner,trey warner,1
Chris Riding,chris riding,Seth Brown,seth brown,1
Chris Riding,chris riding,Kathleen Frewin,kathleen frewin,1
Kathleen Frewin,kathleen frewin,Seth Brown,seth brown,1
Homestyle Dinner Rolls,homestyle dinner rolls,No Such Animal,no such animal,1
No Such Animal,no such animal,Queenadilla,queenadilla,1
Avintaquin,avintaquin,"New Band Showcase"" Afternoon All Night","new band showcase"" afternoon all night",1
Blake Snow,blake snow,"New Band Showcase"" Afternoon All Night","new band showcase"" afternoon all night",1
Bix Fosters,bix fosters,MYKEL,mykel,1
Beeson,beeson,Future.exboyfriend,future.exboyfriend,1
Cardinal Bloom,cardinal bloom,The Goodfellas,the goodfellas,1
The Goodfellas,the goodfellas,With Andrea,with andrea,1
Cardinal Bloom,cardinal bloom,With Andrea,with andrea,1
Bryson Jarrett,bryson jarrett,The Rubies,the rubies,1
+ Jenn Blosil!,+ jenn blosil!,Emyrson Flora,emyrson flora,1
Emyrson Flora,emyrson flora,Paige Fish,paige fish,1
+ Jenn Blosil!,+ jenn blosil!,Paige Fish,paige fish,1
Emyrson Flora,emyrson flora,Kenedi Anderson,kenedi anderson,1
+ Jenn Blosil!,+ jenn blosil!,Kenedi Anderson,kenedi anderson,1
Kenedi Anderson,kenedi anderson,Paige Fish,paige fish,1
26fix,26fix,Beeson,beeson,1
26fix,26fix,Future.exboyfriend,future.exboyfriend,1
Coliseum Street,coliseum street,Kieran Hellum,kieran hellum,1
Poolhouse,poolhouse,TAG!,tag!,1
Daytime Lover,daytime lover,Hurtado,hurtado,1
Hurtado,hurtado,Plastic Cherries,plastic cherries,1
Daytime Lover,daytime lover,Plastic Cherries,plastic cherries,1
Basement Waves,basement waves,Botanical Animal,botanical animal,1
Basement Waves,basement waves,Rally,rally,1
Miss Valentine,miss valentine,Seventh Seal,seventh seal,1
Kieran Hellum,kieran hellum,Miss Valentine,miss valentine,1
Kieran Hellum,kieran hellum,Seventh Seal,seventh seal,1
Coliseum Street,coliseum street,Miss Valentine,miss valentine,1
Coliseum Street,coliseum street,Seventh Seal,seventh seal,1
Homestyle Dinner Rolls,homestyle dinner rolls,Queenadilla,queenadilla,1
Miss Valentine,miss valentine,The Johns,the johns,1
Dryggs,dryggs,The Johns,the johns,1
Botanical Animal,botanical animal,Dallin Phillips,dallin phillips,1
Chi Chi Le Mot,chi chi le mot,Vandergoose,vandergoose,1
Miss Valentine,miss valentine,No Diploma,no diploma,1
19 Miles Per Hour,19 miles per hour,Miss Valentine,miss valentine,1
19 Miles Per Hour,19 miles per hour,No Diploma,no diploma,1
Drusky,drusky,Harpers,harpers,1
Harpers,harpers,With Andrea,with andrea,1
Drusky,drusky,With Andrea,with andrea,1
The Shindas,the shindas,The Sols,the sols,1
Botanical Animal,botanical animal,RIP Cassette,rip cassette,1
Botanical Animal,botanical animal,Samuel Charles Band,samuel charles band,1
RIP Cassette,rip cassette,Samuel Charles Band,samuel charles band,1
Dallin Phillips,dallin phillips,RIP Cassette,rip cassette,1
Dryggs,dryggs,Miss Valentine,miss valentine,1
Dallin Phillips,dallin phillips,Samuel Charles Band,samuel charles band,1
Mick Rudolph,mick rudolph,The Generous,the generous,1
Beck Brothers,beck brothers,Mick Rudolph,mick rudolph,1
Beck Brothers,beck brothers,The Generous,the generous,1
Mac Wright,mac wright,Mick Rudolph,mick rudolph,1
Beck Brothers,beck brothers,Mac Wright,mac wright,1
Brother O Mine,brother o mine,Mick Rudolph,mick rudolph,1
Brother O Mine,brother o mine,The Generous,the generous,1
Beck Brothers,beck brothers,Brother O Mine,brother o mine,1
Brother O Mine,brother o mine,Mac Wright,mac wright,1
MJ Wood,mj wood,VI,vi,1
Chi Chi Le Mot,chi chi le mot,the Ninos,the ninos,1
Chi Chi Le Mot,chi chi le mot,Le Dad,le dad,1
the Ninos,the ninos,Vandergoose,vandergoose,1
Le Dad,le dad,Vandergoose,vandergoose,1
Cactus Tree,cactus tree,The Johns,the johns,1
Cactus Tree,cactus tree,Miss Valentine,miss valentine,1
Cactus Tree,cactus tree,Dryggs,dryggs,1
Psychedelic Purple,psychedelic purple,Teeter Totter,teeter totter,1
King Kashmir,king kashmir,Teeter Totter,teeter totter,1
King Kashmir,king kashmir,Psychedelic Purple,psychedelic purple,1
Frantic Memories,frantic memories,TAG!,tag!,1
"Ahbril ""Ep Release","ahbril ""ep release",Komas,komas,1
Down River,down river,Komas,komas,1
"Ahbril ""Ep Release","ahbril ""ep release",Down River,down river,1
Michael Barrow,michael barrow,Rally,rally,1
Rally,rally,the Tourists,the tourists,1
Rally,rally,Savannah Sgro,savannah sgro,1
Michael Barrow,michael barrow,Savannah Sgro,savannah sgro,1
Savannah Sgro,savannah sgro,the Tourists,the tourists,1
Good Grim,good grim,"Homephone ""Album Release","homephone ""album release",1
Fake Nice,fake nice,"Homephone ""Album Release","homephone ""album release",1
Fake Nice,fake nice,Good Grim,good grim,1
New American Gothic,new american gothic,Sweet Tangerine,sweet tangerine,1
New American Gothic,new american gothic,Paige Fish,paige fish,1
Paige Fish,paige fish,Sweet Tangerine,sweet tangerine,1
Mmend,mmend,Shimmertraps,shimmertraps,1
Le Dad,le dad,the Ninos,the ninos,1
Company Party,company party,Home Phone,home phone,1
Paige Fish,paige fish,The Monroe Clinic,the monroe clinic,1
more...!,more...!,The Voodoo Orchestra,the voodoo orchestra,1
Mac Wright,mac wright,Seth Brown,seth brown,1
Commander Salamander,commander salamander,Over Under,over under,1
Commander Salamander,commander salamander,Fake Nice,fake nice,1
Mt. Everett,mt. everett,Sunfish,sunfish,1
Mt. Everett,mt. everett,Spaced Out,spaced out,1
Spaced Out,spaced out,Sunfish,sunfish,1
19 Miles Per Hour,19 miles per hour,Mt. Everett,mt. everett,1
19 Miles Per Hour,19 miles per hour,Spaced Out,spaced out,1
Chaple,chaple,Grove,grove,1
Anthony Ruiz,anthony ruiz,Gravity Castle,gravity castle,1
Mac Wright,mac wright,Old Birds,old birds,1
Old Birds,old birds,Seth Brown,seth brown,1
Old Birds,old birds,The Generous,the generous,1
Kin Lodge,kin lodge,Tuck,tuck,1
Seth Brown,seth brown,The Generous,the generous,1
oh!no?ok,oh!no?ok,Pleytime,pleytime,1
Voycemail... More!,voycemail... more!,Zendlo,zendlo,1
"Brainstorm 4"" ftg Mr Tape","brainstorm 4"" ftg mr tape",Zendlo,zendlo,1
"Brainstorm 4"" ftg Mr Tape","brainstorm 4"" ftg mr tape",Voycemail... More!,voycemail... more!,1
Garon Brett,garon brett,Vandergoose,vandergoose,1
Cesley,cesley,Teilani,teilani,1
Evelyn Detzany,evelyn detzany,Teilani,teilani,1
Cesley,cesley,Evelyn Detzany,evelyn detzany,1
Micah Willis,micah willis,Teilani,teilani,1
Cesley,cesley,Micah Willis,micah willis,1
Fake Nice,fake nice,Over Under,over under,1
Les Femmes Roadie,les femmes roadie,Stephanie Mabey,stephanie mabey,1
Mowth,mowth,The Rubies,the rubies,1
Belle Jewel,belle jewel,Les Femmes Faith Marie,les femmes faith marie,1
Ellee Duke,ellee duke,Tishmal,tishmal,1
Sophie Blair,sophie blair,Tishmal,tishmal,1
Ellee Duke,ellee duke,Les Femmes LUNA LUNE,les femmes luna lune,1
Les Femmes LUNA LUNE,les femmes luna lune,Sophie Blair,sophie blair,1
Les Femmes LUNA LUNE,les femmes luna lune,Tishmal,tishmal,1
Currents,currents,Libbie Linton,libbie linton,1
Currents,currents,Les Femmes Goldmyth,les femmes goldmyth,1
Les Femmes Goldmyth,les femmes goldmyth,Libbie Linton,libbie linton,1
Currents,currents,Kelsie Everson,kelsie everson,1
Kelsie Everson,kelsie everson,Libbie Linton,libbie linton,1
Kelsie Everson,kelsie everson,Les Femmes Goldmyth,les femmes goldmyth,1
Belle Jewel,belle jewel,Laken,laken,1
Les Femmes Roadie,les femmes roadie,The Penny Candies,the penny candies,1
Laken,laken,Les Femmes Faith Marie,les femmes faith marie,1
Belle Jewel,belle jewel,Bri Ray,bri ray,1
Bri Ray,bri ray,Les Femmes Faith Marie,les femmes faith marie,1
Bri Ray,bri ray,Laken,laken,1
Drusky,drusky,Mia Grace,mia grace,1
Drusky,drusky,Les Femmes Pipes,les femmes pipes,1
Les Femmes Pipes,les femmes pipes,Mia Grace,mia grace,1
Drusky,drusky,Kathleen Frewin,kathleen frewin,1
Kathleen Frewin,kathleen frewin,Mia Grace,mia grace,1
Kathleen Frewin,kathleen frewin,Les Femmes Pipes,les femmes pipes,1
Cherish Degraaf,cherish degraaf,Stephanie Mabey,stephanie mabey,1
Evelyn Detzany,evelyn detzany,Micah Willis,micah willis,1
Roz H,roz h,Something About Bears,something about bears,1
Creatively Bound,creatively bound,Something About Bears,something about bears,1
Day Sounds,day sounds,Grizzly Goat,grizzly goat,1
Currents,currents,Old Birds,old birds,1
Currents,currents,Indies 14 Harpers,indies 14 harpers,1
Currents,currents,Lantern By Sea,lantern by sea,1
Cowboys,cowboys,Currents,currents,1
Day Sounds,day sounds,Indies 14 SEGO,indies 14 sego,1
Cowboys,cowboys,Indies 14 SEGO,indies 14 sego,1
Cowboys,cowboys,Day Sounds,day sounds,1
Indies 14 SEGO,indies 14 sego,Kasadoom,kasadoom,1
Day Sounds,day sounds,Kasadoom,kasadoom,1
Cowboys,cowboys,Kasadoom,kasadoom,1
Grizzly Goat,grizzly goat,Indies 14 SEGO,indies 14 sego,1
Cowboys,cowboys,Grizzly Goat,grizzly goat,1
Creatively Bound,creatively bound,Roz H,roz h,1
Grizzly Goat,grizzly goat,Kasadoom,kasadoom,1
Goose,goose,Hobosapien,hobosapien,1
Goose,goose,Scrub Oaks,scrub oaks,1
Hobosapien,hobosapien,Scrub Oaks,scrub oaks,1
9th East,9th east,Goose,goose,1
9th East,9th east,Hobosapien,hobosapien,1
9th East,9th east,Scrub Oaks,scrub oaks,1
Kipper Snack,kipper snack,Mia Grace,mia grace,1
Detective Deckard,detective deckard,Wicked Bears,wicked bears,1
Detective Deckard,detective deckard,Housewarming Party,housewarming party,1
Housewarming Party,housewarming party,Wicked Bears,wicked bears,1
Cowboys,cowboys,Lantern By Sea,lantern by sea,1
Cowboys,cowboys,Indies 14 Harpers,indies 14 harpers,1
Cowboys,cowboys,Old Birds,old birds,1
Indies 14 Harpers,indies 14 harpers,Lantern By Sea,lantern by sea,1
Kage Hughart Project,kage hughart project,Something About Bears,something about bears,1
Kage Hughart Project,kage hughart project,Roz H,roz h,1
NVM,nvm,Sunsleeper,sunsleeper,1
Jonas Swanson,jonas swanson,Slap Back Routine,slap back routine,1
Cesley,cesley,Dad Bod,dad bod,1
Indigo Waves,indigo waves,The Wanna Go,the wanna go,1
Ruble,ruble,The Wanna Go,the wanna go,1
Chaple W/ Grove,chaple w/ grove,Valentine,valentine,1
the Regard,the regard,Valentine,valentine,1
Chaple W/ Grove,chaple w/ grove,the Regard,the regard,1
Middle Mountain,middle mountain,Tuck,tuck,1
Chloe,chloe,Madilyn Page,madilyn page,1
Chloe,chloe,Ellee Duke,ellee duke,1
Ellee Duke,ellee duke,Madilyn Page,madilyn page,1
Chloe,chloe,Jane Beeson,jane beeson,1
Jane Beeson,jane beeson,Madilyn Page,madilyn page,1
Ellee Duke,ellee duke,Jane Beeson,jane beeson,1
Chloe,chloe,Olivia,olivia,1
Madilyn Page,madilyn page,Olivia,olivia,1
Ellee Duke,ellee duke,Olivia,olivia,1
Jane Beeson,jane beeson,Olivia,olivia,1
Indies 14 Harpers,indies 14 harpers,Old Birds,old birds,1
Lantern By Sea,lantern by sea,Old Birds,old birds,1
Ellee Duke,ellee duke,Sophie Blair,sophie blair,1
Les Femmes New Shack/Madge,les femmes new shack/madge,Mowth,mowth,1
Hoppy,hoppy,With Andrea,with andrea,1
Hoppy,hoppy,Sunhills,sunhills,1
Cardinal Bloom,cardinal bloom,Rally,rally,1
19MPH,19mph,Cardinal Bloom,cardinal bloom,1
19MPH,19mph,Rally,rally,1
Kin Lodge,kin lodge,Texture Love,texture love,1
Chi Chi Le Mot,chi chi le mot,Kin Lodge,kin lodge,1
Chi Chi Le Mot,chi chi le mot,Texture Love,texture love,1
Drusky,drusky,Kin Lodge,kin lodge,1
Drusky,drusky,Texture Love,texture love,1
Chi Chi Le Mot,chi chi le mot,Drusky,drusky,1
Cop Kid,cop kid,Rich Moms,rich moms,1
Hoppy,hoppy,Sweet Tangerine,sweet tangerine,1
Sunhills,sunhills,Sweet Tangerine,sweet tangerine,1
Mt. Everett,mt. everett,Poolhouse,poolhouse,1
Allred,allred,Grizzly Goat,grizzly goat,1
Allred,allred,Cory Mon,cory mon,1
Cory Mon,cory mon,Grizzly Goat,grizzly goat,1
Sorrymom,sorrymom,Southernmost Gravy,southernmost gravy,1
Merc,merc,Sorrymom,sorrymom,1
Merc,merc,Southernmost Gravy,southernmost gravy,1
Lemon Tree Grove,lemon tree grove,Sorrymom,sorrymom,1
Lemon Tree Grove,lemon tree grove,Southernmost Gravy,southernmost gravy,1
Lemon Tree Grove,lemon tree grove,Merc,merc,1
Scott Shepard,scott shepard,"The Fireplace Sessions"" Brandon Robbins","the fireplace sessions"" brandon robbins",1
Spencer Petersen,spencer petersen,"The Fireplace Sessions"" Brandon Robbins","the fireplace sessions"" brandon robbins",1
Poolhouse,poolhouse,RIP Cassette,rip cassette,1
Mt. Everett,mt. everett,RIP Cassette,rip cassette,1
Kambree,kambree,The Rubies,the rubies,1
Bad Heather,bad heather,Pinguin Mofex,pinguin mofex,1
Ben Day,ben day,The Penny Candies,the penny candies,1
The Bird Watchers,the bird watchers,The Penny Candies,the penny candies,1
Ben Day,ben day,The Bird Watchers,the bird watchers,1
Spirit City,spirit city,Tommy,tommy,1
19MPH,19mph,Beeson,beeson,1
"Ryan Innes ""Stripped + Bare"" (Seated","ryan innes ""stripped + bare"" (seated",Stories),stories),1
Songs,songs,Stories),stories),1
"Ryan Innes ""Stripped + Bare"" (Seated","ryan innes ""stripped + bare"" (seated",Songs,songs,1
Bryson Jarrett,bryson jarrett,Sunfish,sunfish,1
Ashley Hess,ashley hess,Le Dad,le dad,1
Alex Caldiero,alex caldiero,It Foot It Ears,it foot it ears,1
Poet Bones,poet bones,Starcrossed Loners,starcrossed loners,1
"Drew Danburry ""Album Release","drew danburry ""album release",The Mellons,the mellons,1
Retrofect,retrofect,Starcrossed Loners,starcrossed loners,1
Poet Bones,poet bones,Retrofect,retrofect,1
James Robin,james robin,Nicholas Allen,nicholas allen,1
Devin Knight,devin knight,Nicholas Allen,nicholas allen,1
Devin Knight,devin knight,James Robin,james robin,1
Donnie Bonelli,donnie bonelli,Nicholas Allen,nicholas allen,1
Donnie Bonelli,donnie bonelli,James Robin,james robin,1
Devin Knight,devin knight,Donnie Bonelli,donnie bonelli,1
Dad Bod,dad bod,Fake Nice,fake nice,1
Bly Wallentine,bly wallentine,The Mellons,the mellons,1
Bly Wallentine,bly wallentine,"Drew Danburry ""Album Release","drew danburry ""album release",1
"16""The Fireplace Sessions"" Brandon Robbins","16""the fireplace sessions"" brandon robbins",Scott Shepard,scott shepard,1
"16""The Fireplace Sessions"" Brandon Robbins","16""the fireplace sessions"" brandon robbins",Spencer Petersen,spencer petersen,1
Beach Death,beach death,Sunfish,sunfish,1
Show Me Island,show me island,SKA PATRICKS DAY! The Gringos,ska patricks day! the gringos,1
Lantern By Sea,lantern by sea,Libbie Linton,libbie linton,1
Lantern By Sea,lantern by sea,Mmend,mmend,1
Libbie Linton,libbie linton,Mmend,mmend,1
Goldmyth,goldmyth,Lantern By Sea,lantern by sea,1
