date	day	month	year	title	genre	artists	description	venue	is_open_mic	is_festival	is_special_event	extracted_at
2025-10-17	17	October	2025	Jakdel, Sweet Tangerine, Asher Hunt	Alt-Indie		(Alt-Indie) Jakdel, Sweet Tangerine, Asher Hunt	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368327
2025-10-18	18	October	2025	Buzzards & Bees Presents: GOTH PROM (Dance Party, Prom Photos, Vendors, more!..	Unknown		Buzzards & Bees Presents: GOTH PROM (Dance Party, Prom Photos, Vendors, more!..	Velour Live Music Gallery	False	False	True	2025-10-11T14:36:18.368334
2025-10-21	21	October	2025	Festival Set Up	Unknown		Festival Set Up	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368340
2025-10-22	22	October	2025	Festival Set Up	Unknown		Festival Set Up	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368346
2025-10-23	23	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368352
2025-10-24	24	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368359
2025-10-25	25	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368365
2025-10-26	26	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368371
2025-10-27	27	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368376
2025-10-28	28	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368383
2025-10-29	29	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368391
2025-10-30	30	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368398
2025-10-31	31	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368404
2025-10-31	31	October	2025	October 2025 Find a Month :	Unknown		October 2025 Find a Month :	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368410
2025-10-31	31	October	2025	Nov 2024	Unknown		Nov 2024	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368416
2025-10-31	31	October	2025	Dec 2024	Unknown		Dec 2024	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368422
2025-10-31	31	October	2025	Jan 2025	Unknown		Jan 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368427
2025-10-31	31	October	2025	Feb 2025	Unknown		Feb 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368432
2025-10-31	31	October	2025	Mar 2025	Unknown		Mar 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368438
2025-10-31	31	October	2025	Apr 2025	Unknown		Apr 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368445
2025-10-31	31	October	2025	May 2025	Unknown		May 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368450
2025-10-31	31	October	2025	Jun 2025	Unknown		Jun 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368455
2025-10-31	31	October	2025	Jul 2025	Unknown		Jul 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368460
2025-10-31	31	October	2025	Aug 2025	Unknown		Aug 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368466
2025-10-31	31	October	2025	Sep 2025	Unknown		Sep 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368471
2025-10-31	31	October	2025	Oct 2025	Unknown		Oct 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368476
2025-10-31	31	October	2025	Nov 2025	Unknown		Nov 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368481
2025-10-31	31	October	2025	Dec 2025	Unknown		Dec 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368486
2025-10-31	31	October	2025	Jan 2026	Unknown		Jan 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368491
2025-10-31	31	October	2025	Feb 2026	Unknown		Feb 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368496
2025-10-31	31	October	2025	Mar 2026	Unknown		Mar 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368502
2025-10-31	31	October	2025	Apr 2026	Unknown		Apr 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368507
2025-10-31	31	October	2025	May 2026	Unknown		May 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368512
2025-10-31	31	October	2025	Jun 2026	Unknown		Jun 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368517
2025-10-31	31	October	2025	Jul 2026	Unknown		Jul 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368522
2025-10-31	31	October	2025	Aug 2026	Unknown		Aug 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368527
2025-10-31	31	October	2025	Sep 2026	Unknown		Sep 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368532
2025-10-31	31	October	2025	Oct 2026	Unknown		Oct 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368537
2025-10-31	31	October	2025	Nov 2026	Unknown		Nov 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368543
2025-10-31	31	October	2025	Find a Month :	Unknown		Find a Month :	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368548
2025-10-31	31	October	2025	Nov 2024	Unknown		Nov 2024	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368553
2025-10-31	31	October	2025	Dec 2024	Unknown		Dec 2024	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368558
2025-10-31	31	October	2025	Jan 2025	Unknown		Jan 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368563
2025-10-31	31	October	2025	Feb 2025	Unknown		Feb 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368569
2025-10-31	31	October	2025	Mar 2025	Unknown		Mar 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368574
2025-10-31	31	October	2025	Apr 2025	Unknown		Apr 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368579
2025-10-31	31	October	2025	May 2025	Unknown		May 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368584
2025-10-31	31	October	2025	Jun 2025	Unknown		Jun 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368589
2025-10-31	31	October	2025	Jul 2025	Unknown		Jul 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368594
2025-10-31	31	October	2025	Aug 2025	Unknown		Aug 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368600
2025-10-31	31	October	2025	Sep 2025	Unknown		Sep 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368605
2025-10-31	31	October	2025	Oct 2025	Unknown		Oct 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368610
2025-10-31	31	October	2025	Nov 2025	Unknown		Nov 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368615
2025-10-31	31	October	2025	Dec 2025	Unknown		Dec 2025	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368620
2025-10-31	31	October	2025	Jan 2026	Unknown		Jan 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368625
2025-10-31	31	October	2025	Feb 2026	Unknown		Feb 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368631
2025-10-31	31	October	2025	Mar 2026	Unknown		Mar 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368636
2025-10-31	31	October	2025	Apr 2026	Unknown		Apr 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368641
2025-10-31	31	October	2025	May 2026	Unknown		May 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368646
2025-10-31	31	October	2025	Jun 2026	Unknown		Jun 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368651
2025-10-31	31	October	2025	Jul 2026	Unknown		Jul 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368656
2025-10-31	31	October	2025	Aug 2026	Unknown		Aug 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368661
2025-10-31	31	October	2025	Sep 2026	Unknown		Sep 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368668
2025-10-31	31	October	2025	Oct 2026	Unknown		Oct 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368673
2025-10-31	31	October	2025	Nov 2026	Unknown		Nov 2026	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368679
2025-10-31	31	October	2025	Sun Mon Tue Wed Thu Fri Sat	Unknown		Sun Mon Tue Wed Thu Fri Sat	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368684
2025-10-01	1	October	2025	Open-Mic Night	Unknown		Open-Mic Night	Velour Live Music Gallery	True	False	False	2025-10-11T14:36:18.368690
2025-10-02	2	October	2025	Ferrin, Kaytlin Numbers, Avintaquin	Indie-Jazz/Rock		(Indie-Jazz/Rock) Ferrin, Kaytlin Numbers, Avintaquin	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368699
2025-10-03	3	October	2025	"Noble Bodies ""Reunion""!"	Rock/Indie	Hug The Warrior, The LoveStrange	"(Rock/Indie) Noble Bodies ""Reunion""! w/ Hug The Warrior, The LoveStrange"	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368707
2025-10-04	4	October	2025	Lovingly Clad, The Moonspinners, Pats Cajamas	Rock/Indie		(Rock/Indie) Lovingly Clad, The Moonspinners, Pats Cajamas	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368714
2025-10-08	8	October	2025	Open-Mic Night	Unknown		Open-Mic Night	Velour Live Music Gallery	True	False	False	2025-10-11T14:36:18.368721
2025-10-09	9	October	2025	"Amy Geis ""Album Release"	Pop	Wildwood, Mik & Tom	"(Pop) Amy Geis ""Album Release"" w/ Wildwood, Mik & Tom"	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368727
2025-10-10	10	October	2025	SEGO	Indie/Art-Rock	Social Cinema (KS), Rob Spice	(Indie/Art-Rock) SEGO w/ Social Cinema (KS), Rob Spice	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368734
2025-10-11	11	October	2025	AURHE, Geist, Ophelias Drowning	Alt/Rock		(Alt/Rock) AURHE, Geist, Ophelias Drowning	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368741
2025-10-15	15	October	2025	Open-Mic Night	Unknown		Open-Mic Night	Velour Live Music Gallery	True	False	False	2025-10-11T14:36:18.368747
2025-10-16	16	October	2025	Bleu Grave, Mortal American Body, Midnite Judges	Indie/Post-Punk		(Indie/Post-Punk) Bleu Grave, Mortal American Body, Midnite Judges	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368754
2025-10-17	17	October	2025	Jakdel, Sweet Tangerine, Asher Hunt	Alt-Indie		(Alt-Indie) Jakdel, Sweet Tangerine, Asher Hunt	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368760
2025-10-18	18	October	2025	Buzzards & Bees Presents: GOTH PROM (Dance Party, Prom Photos, Vendors, more!..	Unknown		Buzzards & Bees Presents: GOTH PROM (Dance Party, Prom Photos, Vendors, more!..	Velour Live Music Gallery	False	False	True	2025-10-11T14:36:18.368767
2025-10-21	21	October	2025	Festival Set Up	Unknown		Festival Set Up	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368773
2025-10-22	22	October	2025	Festival Set Up	Unknown		Festival Set Up	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368779
2025-10-23	23	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368785
2025-10-24	24	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368791
2025-10-25	25	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368797
2025-10-26	26	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368803
2025-10-27	27	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368809
2025-10-28	28	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368815
2025-10-29	29	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368821
2025-10-30	30	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368826
2025-10-31	31	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368832
2025-10-01	1	October	2025	Open-Mic Night 02	Unknown		Open-Mic Night 02	Velour Live Music Gallery	True	False	False	2025-10-11T14:36:18.368838
2025-10-01	1	October	2025	Ferrin, Kaytlin Numbers, Avintaquin 03	Indie-Jazz/Rock		(Indie-Jazz/Rock) Ferrin, Kaytlin Numbers, Avintaquin 03	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368844
2025-10-01	1	October	2025	"Noble Bodies ""Reunion""!"	Rock/Indie	Hug The Warrior, The LoveStrange 04	"(Rock/Indie) Noble Bodies ""Reunion""! w/ Hug The Warrior, The LoveStrange 04"	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368851
2025-10-01	1	October	2025	Lovingly Clad, The Moonspinners, Pats Cajamas 05 06 07 08	Rock/Indie		(Rock/Indie) Lovingly Clad, The Moonspinners, Pats Cajamas 05 06 07 08	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368858
2025-10-01	1	October	2025	Open-Mic Night 09	Unknown		Open-Mic Night 09	Velour Live Music Gallery	True	False	False	2025-10-11T14:36:18.368863
2025-10-01	1	October	2025	"Amy Geis ""Album Release"	Pop	Wildwood, Mik & Tom 10	"(Pop) Amy Geis ""Album Release"" w/ Wildwood, Mik & Tom 10"	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368870
2025-10-01	1	October	2025	SEGO	Indie/Art-Rock	Social Cinema (KS), Rob Spice 11	(Indie/Art-Rock) SEGO w/ Social Cinema (KS), Rob Spice 11	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368876
2025-10-01	1	October	2025	AURHE, Geist, Ophelias Drowning 12 13 14 15	Alt/Rock		(Alt/Rock) AURHE, Geist, Ophelias Drowning 12 13 14 15	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368882
2025-10-01	1	October	2025	Open-Mic Night 16	Unknown		Open-Mic Night 16	Velour Live Music Gallery	True	False	False	2025-10-11T14:36:18.368889
2025-10-01	1	October	2025	Bleu Grave, Mortal American Body, Midnite Judges 17	Indie/Post-Punk		(Indie/Post-Punk) Bleu Grave, Mortal American Body, Midnite Judges 17	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368895
2025-10-01	1	October	2025	Jakdel, Sweet Tangerine, Asher Hunt 18	Alt-Indie		(Alt-Indie) Jakdel, Sweet Tangerine, Asher Hunt 18	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368902
2025-10-01	1	October	2025	Buzzards & Bees Presents: GOTH PROM (Dance Party, Prom Photos, Vendors, more!.. 19 20 21	Unknown		Buzzards & Bees Presents: GOTH PROM (Dance Party, Prom Photos, Vendors, more!.. 19 20 21	Velour Live Music Gallery	False	False	True	2025-10-11T14:36:18.368909
2025-10-01	1	October	2025	Festival Set Up 22	Unknown		Festival Set Up 22	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368914
2025-10-01	1	October	2025	Festival Set Up 23	Unknown		Festival Set Up 23	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368919
2025-10-01	1	October	2025	2025 FilmQuest Film Festival 24	Unknown		2025 FilmQuest Film Festival 24	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368925
2025-10-01	1	October	2025	2025 FilmQuest Film Festival 25	Unknown		2025 FilmQuest Film Festival 25	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368931
2025-10-01	1	October	2025	2025 FilmQuest Film Festival 26	Unknown		2025 FilmQuest Film Festival 26	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368936
2025-10-01	1	October	2025	2025 FilmQuest Film Festival 27	Unknown		2025 FilmQuest Film Festival 27	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368942
2025-10-01	1	October	2025	2025 FilmQuest Film Festival 28	Unknown		2025 FilmQuest Film Festival 28	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368947
2025-10-01	1	October	2025	2025 FilmQuest Film Festival 29	Unknown		2025 FilmQuest Film Festival 29	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368953
2025-10-01	1	October	2025	2025 FilmQuest Film Festival 30	Unknown		2025 FilmQuest Film Festival 30	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368959
2025-10-01	1	October	2025	2025 FilmQuest Film Festival 31	Unknown		2025 FilmQuest Film Festival 31	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368964
2025-10-01	1	October	2025	2025 FilmQuest Film Festival	Unknown		2025 FilmQuest Film Festival	Velour Live Music Gallery	False	True	False	2025-10-11T14:36:18.368970
